"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"latency_perprobe","endpoint","gemini","c","HEAD","500","8","287","248","516",,,
"latency_perprobe","endpoint","gpt","c","HEAD","429","9","41","42","54",,,
"latency_perprobe","endpoint","mistral","v","HEAD","200","49","249","125","608",,,
"latency_perprobe","endpoint","claude","c","HEAD","403","42","271","263","428",,,
"latency_perprobe","endpoint","deepseek","t","GET","429","19","39","37","89",,,
"latency_perprobe","endpoint","gpt","c","HEAD","500","2","208","207","209",,,
"latency_perprobe","endpoint","mistral","c","HEAD","404","246","195","122","483",,,
"latency_perprobe","endpoint","claude","c","GET","200","109","240","96","500",,,
"latency_perprobe","endpoint","mistral","t","HEAD","422","5","197","164","257",,,
"latency_perprobe","endpoint","claude","v","GET","404","319","122","99","284",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","400","36","383","469","740",,,
"latency_perprobe","endpoint","mistral","v","GET","404","364","144","105","318",,,
"latency_perprobe","endpoint","deepseek","v","GET","404","259","129","101","280",,,
"latency_perprobe","endpoint","gemini","c","HEAD","ERR","132","8618","15007","15084",,,
"latency_perprobe","endpoint","gemini","v","HEAD","403","84","292","249","807",,,
"latency_perprobe","endpoint","gpt","t","GET","405","57","104","80","294",,,
"latency_perprobe","endpoint","deepseek","c","GET","ERR","89","3274","2","15038",,,
"latency_perprobe","endpoint","mistral","v","GET","308","4","78","71","94",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","302","5","661","607","873",,,
"latency_perprobe","endpoint","mistral","t","HEAD","401","206","205","103","1145",,,
"latency_perprobe","endpoint","claude","v","HEAD","400","10","129","71","314",,,
"latency_perprobe","endpoint","gpt","v","HEAD","500","2","206","199","212",,,
"latency_perprobe","endpoint","claude","t","HEAD","200","61","152","94","564",,,
"latency_perprobe","endpoint","mistral","c","HEAD","403","34","221","215","323",,,
"latency_perprobe","endpoint","claude","t","OPTIONS","ERR","1286","1","0","1",,,
"latency_perprobe","endpoint","deepseek","t","HEAD","400","22","115","94","188",,,
"latency_perprobe","endpoint","mistral","v","HEAD","403","84","249","228","434",,,
"latency_perprobe","endpoint","claude","v","HEAD","ERR","134","1663","1","15062",,,
"latency_perprobe","endpoint","mistral","v","GET","302","24","648","638","725",,,
"latency_perprobe","endpoint","gemini","t","GET","403","17","214","214","659",,,
"latency_perprobe","endpoint","gpt","v","GET","403","70","341","301","710",,,
"latency_perprobe","endpoint","gpt","t","GET","429","33","46","35","100",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","308","4","60","31","110",,,
"latency_perprobe","endpoint","gpt","c","HEAD","200","59","422","284","1329",,,
"latency_perprobe","endpoint","mistral","t","HEAD","405","55","183","100","431",,,
"latency_perprobe","endpoint","claude","t","HEAD","ERR","183","688","1","205",,,
"latency_perprobe","endpoint","gpt","t","HEAD","429","13","53","45","100",,,
"latency_perprobe","endpoint","deepseek","v","GET","429","26","40","38","55",,,
"latency_perprobe","endpoint","gpt","v","HEAD","403","89","356","274","937",,,
"latency_perprobe","endpoint","gemini","c","GET","200","78","191","101","728",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","404","332","141","104","342",,,
"latency_perprobe","endpoint","gpt","t","HEAD","302","5","600","595","613",,,
"latency_perprobe","endpoint","mistral","t","GET","ERR","182","1966","3","15009",,,
"latency_perprobe","endpoint","claude","t","HEAD","405","140","152","91","716",,,
"latency_perprobe","endpoint","gpt","c","GET","401","515","138","114","284",,,
"latency_perprobe","endpoint","claude","c","HEAD","302","5","611","598","650",,,
"latency_perprobe","endpoint","gemini","c","OPTIONS","ERR","864","1","1","1",,,
"latency_perprobe","endpoint","gemini","v","GET","400","36","116","92","227",,,
"latency_perprobe","endpoint","gemini","v","HEAD","429","14","46","34","108",,,
"latency_perprobe","endpoint","gemini","c","HEAD","401","285","235","160","676",,,
"latency_perprobe","endpoint","gemini","t","HEAD","400","4","82","39","196",,,
"latency_perprobe","endpoint","mistral","c","OPTIONS","ERR","908","1","1","1",,,
"latency_perprobe","endpoint","deepseek","t","GET","502","3","110","99","134",,,
"latency_perprobe","endpoint","mistral","t","HEAD","302","11","645","648","722",,,
"latency_perprobe","endpoint","claude","t","HEAD","429","23","45","33","105",,,
"latency_perprobe","endpoint","claude","t","HEAD","404","374","180","118","458",,,
"latency_perprobe","endpoint","mistral","v","HEAD","503","10","97","65","219",,,
"latency_perprobe","endpoint","claude","c","GET","ERR","119","1270","1","15016",,,
